frame,x,y,z,roll,pitch,yaw
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,-0.25386839582920745,-0.5255327546001873,0.5079737274611282,131.241214543809,87.96132215510335,101.97103344178149
2,-0.33015711566022576,-0.478779395308826,0.44551617018162815,82.87300749548659,-8.407047675277974,-7.570501543089665
3,-0.3504262847740876,-0.5021190378803175,0.509409568305789,-173.27895237323725,23.099126411680665,144.86564796286083
4,-0.37220978337218086,-0.4934325018002428,0.46964072690070235,98.66790984284418,-49.38892259509064,84.83859440737882
5,-0.3793951171414199,-0.4295555468959346,0.5545612510949642,-158.27600866840834,69.90705707740037,91.65330058488925
6,-0.3114309207993846,-0.3518049954153323,0.5247777378053061,-17.740773315731147,29.541886641450322,-146.02975335296648
7,-0.373926026247946,-0.3559183123556085,0.5184063546759795,167.85396291845763,-8.995338814754671,-8.079556455503086
8,-0.40134516418492505,-0.45114022263360476,0.5026575437790228,-7.233755990138323,-8.913729655098566,133.3933374889646
9,-0.47379956765825404,-0.4640082723061342,0.5210139421565276,28.92571271326936,49.86038007975278,41.759010748626295
10,-0.5425302185715238,-0.4977733969638915,0.45916824924401545,62.726436552410526,-25.868650975910057,50.810712197008094
11,-0.49597176312630886,-0.5234412122595441,0.5982989335428414,-154.95025340211933,56.30976952122017,6.575874604187068
12,-0.4309472465629443,-0.5826286261349815,0.6010628288979629,-91.71824752725807,-69.81358364941238,124.76823632981333
13,-0.45903614609932464,-0.6317749127264731,0.6690298956501861,101.40431413985452,65.19621501420009,66.02822183813342
14,-0.4648499783201823,-0.5435223340489025,0.7402254998917285,-140.44271300460935,-32.37161297984536,-79.36537323492621
15,-0.39491146518018605,-0.5902979098792769,0.8563875002058863,-91.44350683266879,46.07107373228663,-105.90242954648816
16,-0.29744744339801377,-0.6089957998054244,0.7978712924352613,-38.890608180966815,-28.53827975189207,-130.3521444076747
17,-0.31273002935765953,-0.5521737152378858,0.7307483463066389,24.524748266365993,9.392085296401207,-0.968198809871071
18,-0.25267996376012075,-0.5612175342060695,0.8045150191862226,130.4237805857186,32.688671753672175,-126.40041025002691
19,-0.2632910126679275,-0.5841167969617348,0.8773082623680892,-127.18335745095868,36.95979261717334,-75.40517910818852
20,-0.22774647430898673,-0.5015306684524293,0.855955284009093,87.7524550896091,-13.732952472130282,164.7880431379094
21,-0.32749909410296496,-0.5426183389680436,0.7869052032345407,-1.3512419706718313,31.60670073889381,-39.413643186253026
22,-0.3291599619884455,-0.5691500961075704,0.8401462584635574,-126.32663743949512,58.699094219043175,133.97335416641974
23,-0.3828108547261734,-0.4671203049663308,0.8400162304504493,33.72844913071491,58.60601810563787,-76.09633464812651
24,-0.35578558671207866,-0.5544328168785149,0.7852555709959064,34.40398439068663,27.795446873163367,77.15516650125548
25,-0.3064237928453062,-0.540074013381357,0.7016712670729472,56.99750676534187,-23.920909905643708,-169.70412890644812
26,-0.35967049442139865,-0.4643026051547893,0.7271331802449391,-49.27038221404883,28.49273889045295,4.3630855387245555
27,-0.30992913811312595,-0.48006301054242173,0.6816251502389991,-11.272961629758171,11.646021953575254,85.11762500904248
28,-1.0715356047783828,-1.469185080650715,0.9659449156304136,-103.9699091075414,-31.663591953037006,82.5077637965013
29,-1.0910701619636582,-1.4009859923006465,0.9137156854557386,59.03583694932769,-15.340526381772309,-24.107653161576042
30,-0.9993279862801362,-1.3904948270558442,0.9630252946552588,117.64349662340057,45.00205104814938,129.6181578128157
31,-0.930761993693759,-1.3791481730616508,0.9023924275772495,81.66264070540976,8.385601258760783,-173.78302439894597
32,-0.9071517319359008,-1.4697563125987745,0.8967484465920955,72.92441303974448,24.655587756487588,84.71821430468485
33,-0.9051308812058215,-1.495844908727978,0.9693227401679294,-133.79600894441896,11.895234457594402,53.555186309728725
34,-0.9789907261413006,-1.5281910711476872,0.9444005131285704,156.78546120139396,-23.138383050204478,88.36832500247066
35,-1.031895617341495,-1.4953456876069018,0.9488427338608273,95.42840190870811,24.028839362667302,-58.8213045301308
36,-0.9898760539618021,-1.5864482845635917,0.970697313617032,118.81726210164028,31.86831052889973,95.81295106520184
37,-1.0056048358774958,-1.6436994796686049,1.0897759499217434,-103.83637904673421,58.41976526294798,-26.45751517290958
38,-0.8594429474444015,-1.8233623585401106,0.16587348420354808,125.82913466947416,59.621738351449,15.619707419458798
39,-0.9427016943336497,-1.8104062829269933,0.22756664246096237,139.72705836394098,64.18055619383358,-55.915105133514345
40,-1.6381244728490312,-3.021033780117257,-1.8144233552088445,96.93745463957269,49.06268964517606,61.563550442576506
41,-1.595285416264285,-3.083490910991884,-1.772146995155445,120.0408678138837,55.06962394128351,57.08994430937034
42,-1.5501167042746633,-3.0645180923379223,-1.7729623410852513,176.4969456621724,-50.83120103849067,-113.88261145807498
43,-1.5360681390793083,-3.075120501329405,-1.7519495170682458,-150.5334227042415,-3.927466020073005,-150.27027387399107
44,-1.810937990777929,-2.6361163653006368,-1.8282334159192164,-87.76797659650607,-11.974354339233866,-145.30481285011192
45,-1.8886052477575694,-2.7341059368192115,-1.848375303494098,-31.920919780277554,-15.407829826683416,117.60735017250056
46,-1.8930244112476093,-2.825394203761196,-1.938767531963327,85.73837671339466,-8.16172622804896,5.2765334164954485
47,-1.8499519919785208,-2.8394051357088026,-1.8363760198370545,-75.4244697772634,48.055514303283495,14.470685318051581
48,-2.452725206819869,-2.1615302935285845,-1.8980420442598636,154.5788214396928,-9.990451663502641,18.35491007248363
49,-2.578751597065128,-2.179941475619989,-1.9419285951825824,119.40710841395735,-28.261864733885815,66.31453425837887
50,-2.6517189460989825,-2.126942846408051,-1.860173473717967,-137.6034829426817,9.02613537151153,-72.4427186643849
51,-2.5956224237832166,-2.1010384505526467,-1.814022678821953,-157.12213957943095,26.804943071613923,97.80211025979433
52,-2.6647522870901437,-2.1830370331066793,-1.7963795501957542,150.73861327332475,-9.713456744650685,32.349893461266724
53,-2.6267291995735027,-2.0761174353321206,-1.8519795633382519,-118.60309668497393,-78.37047035835053,-143.4225036579133
54,-2.6588769044024536,-2.0626840323483977,-1.895306954985825,63.320652435322174,-62.555990927827146,178.1035016574481
55,-2.6008007337662216,-1.9848306965933353,-1.9512257616177875,14.6545752950571,33.50960739125245,173.76693721722864
56,-2.546755884480408,-1.9411413218631968,-1.8364851241150166,-77.8710266983338,51.44780133558829,134.83737711806728
57,-2.5372234768540234,-2.0161115550681683,-1.8976674590494997,148.30480367325367,-28.107431755752152,127.59721161554408
58,-2.594189371610599,-2.07432705855368,-1.91894115888643,39.24836594166524,32.409841519732744,84.65526478447808
59,-2.748272400127807,-2.092562482422827,-1.9564647376703257,142.73613775559048,-41.53152077815579,-54.639401420349294
60,-2.7120060317860877,-2.0972412705356467,-1.9882041299570226,66.03386051375692,-74.38508367506662,-66.95108687550706
61,-2.709125595322624,-2.051987412690148,-2.0420859541991074,-141.38755671843145,-65.81429582930846,-66.22468829403564
62,-2.7714952982208585,-2.079344803896469,-2.122791945881057,47.992574097581574,-2.342262963082275,-32.51187561820245
63,-2.7319706020997967,-2.013371596033907,-2.1684838315714106,-61.919510585736774,-33.8949954964461,-131.48975000282556
64,-2.9333674538905967,-1.279964937860416,-2.0459679147601295,69.8758866704497,-66.64728148306884,32.43875271266829
65,-3.0487649763827145,-2.4791609589982646,-1.8555385435968776,-147.73109964409338,6.795732192078941,-106.96144935718313
66,-3.1040953876620097,-2.4102122398279597,-1.8627963286115485,-68.80066556358727,54.005168706787956,-125.63226890906465
67,-3.162085220166509,-2.3862425302890773,-1.9111690536660875,61.9906253022832,-67.63757513656232,-154.24280923007458
68,-3.266058150190841,-2.3462942407284957,-1.9211231280803391,22.483379324484122,20.41037459069327,-57.45491335594567
69,-3.2806977794638783,-2.4485154047139424,-1.9276513623708202,-30.337436990265672,12.303267015082689,49.00939776826718
70,-2.5763151703310703,-2.1291927230498096,-2.4033371766211054,-23.613844107286308,-68.45277037226649,-95.94550698875611
71,-2.664783959387887,-2.2309332890777624,-2.423811900064858,63.60949499667707,64.84468660735091,37.73880104548252
72,-2.2554621094324974,-2.3212912170322273,-2.7590074577839574,113.53778204993391,5.348841999784126,-46.00271461357681
73,-2.1876905375864952,-2.2770493393429336,-2.72375912624838,-24.507866826834096,14.695851979156616,-54.53954588261348
74,-2.1638117287319467,-2.219661622444891,-2.802029095786452,104.64380447723305,-51.78802499490288,135.4409189371015
75,-1.9551708614032994,-1.9889260484542488,-2.4551779188843743,1.3209893047660999,5.148454416713609,-40.67493109706698
76,-1.858038452375679,-2.0548492847875526,-2.4708547863263,-13.659289369048892,12.391801813099242,-149.99137670519772
77,-1.9369517583033007,-2.0502354585978906,-2.383990582792222,150.12267396177074,45.196441196134,-131.64908747478262
78,-1.94833270581253,-2.1160569332488737,-2.3743755405787086,-178.5532969372614,-1.6464117996020275,54.78749412245772
79,-1.9961650718667228,-2.1565925216900577,-2.4466185006155627,12.520485638411465,14.110332946591244,70.53653014717112
80,-1.97810236085723,-2.115159259239796,-2.5062067498362515,73.70777915758767,-43.46370058305397,37.65011761996545
81,-2.842840482681554,-2.2940788977882223,-1.9196530391430064,-59.54763478726538,-18.549457121484924,-130.24449072020343
82,-1.7393691334501857,-1.3045786803464776,0.7780162936526587,54.2980511395092,-35.36358648452142,76.09544156237423
83,-1.7669561801129001,-1.2667213037158394,0.8383508480185687,-145.09911433695302,20.104357880473987,-147.58062016804806
84,-1.854456314826029,-1.2026200208827602,0.835777911446451,-30.72806293525864,-0.8921860055796493,47.42972526893469
85,-1.886713424599472,-1.2167879672716195,0.8484235790382512,-97.31873259688871,1.8964980061167496,-38.578965760946325
86,-1.8305518196216966,-1.2577935110311502,0.8457455429808476,-96.0961625120797,-73.69418480603122,120.57729515165663
87,-1.9303401253428036,-1.2094349524604078,0.7841601459127425,-24.133391316715322,-27.89024303456994,-117.70526558002224
88,-1.844093848043236,-1.0932650406935567,0.8022650959926222,-130.06891765987592,-48.63187262257799,-127.07994674159022
89,-1.785634755253255,-1.0119233722495447,0.9082757336223397,-143.3538353895228,-8.891953901011885,-100.88474941327506
90,-1.8724799503199958,-1.0062223548188818,0.8671139886494212,21.0750707699891,32.25512809797391,-20.10146443433614
91,-1.969047594163867,-1.109528488720355,1.0147540360008582,105.70589803759431,-48.52995520087265,55.83553036409767
92,-1.8873510221604681,-1.1972603162860584,1.0204418766073737,-147.4988335627467,-34.34072405376418,100.68991371717078
93,-1.8468872642740282,-1.296029698240489,1.0118437911600762,123.62260815288506,-38.84146573704309,-176.77695443809824
94,-1.8020050670601286,-1.2113881997559393,0.9824783636343256,-140.9555982238805,-72.85204865884285,22.712980786903195
95,-1.7707327528246106,-1.2439007254981587,0.9728505696095343,-14.921697115421301,23.903203920429807,-179.56391235934925
96,-1.7580559117813959,-1.2437460622905838,1.0264580099150433,-111.38810397028342,37.1543822123593,60.33614850579025
97,-1.9042321830547435,-1.3155148641026329,1.0404009559577436,-122.79796490362695,-25.50008309350745,87.42447965449507
98,-2.16604749195758,-0.8874327463794056,0.798466491942458,121.2305881873574,19.698190609280218,-176.22187044321055
99,-2.1096665157630885,-0.9540469858560763,0.8260095991999481,106.84384845994643,42.53484062741361,103.98944933900103
